Site; Entreprise; Collecte; Collecte en cours
926;Mcdonald's VIRE;SUEZ;OUI
931;Mcdonald's SAINT JEAN DE MAURIENNE;TRIALP;OUI
931;Mcdonald's SAINT JEAN DE MAURIENNE;REFOOD;OUI
932;Mcdonald's THOUARS;BRANGEON;OUI
932;Mcdonald's THOUARS;VEOLIA;OUI
934;Mcdonald's MELLAC;VEOLIA;OUI
934;Mcdonald's MELLAC;RECYCLEURS BRETONS;OUI
934;McDonald's Mellac Quimperle;RECYCLEURS BRETON;OUI
938;Mcdonald's PITHIVIERS;REFOOD;OUI
938;Mcdonald's PITHIVIERS;VEOLIA;OUI
938;Mcdonald's PITHIVIERS;PAPREC;OUI
939;Mcdonald's NOGENT-LE-ROTROU;PAPREC;OUI
955;Mcdonald's ORLEANS;VEOLIA;OUI
956;Beaugency;VEOLIA;OUI
968;SOLLIES PONT;PIZZORNO;OUI
968;SOLLIES PONT;ALCHIMISTES;OUI
973;Mcdonald's ANDELAT;TRANSPANEZE ;OUI
973;McDonald's Andelat;TRANSPLANEZE;OUI
1005;Mcdonald's SAINT-JUNIEN;SUEZ;OUI
1005;Mcdonald's SAINT-JUNIEN;REFOOD;OUI
1007;Mcdonald's PONTCHATEAU;SECHE ;OUI
1007;Mcdonald's PONTCHATEAU;ATESIS;OUI
1007;Mcdonald's PONTCHATEAU;OLYGEO;OUI
1007;Mcdonald's PONTCHATEAU;VEOLIA;OUI
1007;McDonald's Pontchateau;COMPOST IN SITU;OUI
1020;Mcdonald's SAINT-AMAND-MONTROND;REFOOD;OUI
1020;Mcdonald's SAINT-AMAND-MONTROND;VEOLIA;OUI
1020;Mcdonald's SAINT-AMAND-MONTROND;PAPREC;OUI
1024;Mcdonald's LA FERT-BERNARD;REFOOD;OUI
1024;Mcdonald's LA FERT-BERNARD;PAPREC;OUI
1033;Mcdonald's SAINT AVOLD;VEOLIA;OUI
1036;Mcdonald's FIGEAC;REFOOD;OUI
1036;Mcdonald's FIGEAC;PAPREC;OUI
1037;Mcdonald's HENNEBONT;VEOLIA;OUI
1041;Mcdonald's ST MAIXENT L'ECOLE;REFOOD;OUI
1041;Mcdonald's ST MAIXENT L'ECOLE;COLLECTIVITE;OUI
1053;Mcdonalds Civrieux;NICOLLIN;OUI
1053;Mcdonalds Civrieux;MARTIN BROWER;OUI
1064;Mcdonald's BISCARROSSE ;BRANGEON;OUI
1067;McDonald's Sarrebourg;SUEZ;OUI
1067;McDonald's Sarrebourg;CITRAVAL;OUI
1069;Mcdonald's GIEN;VEOLIA;OUI
1071;Mcdonald's HANCHES;REFOOD;OUI
1071;Mcdonald's HANCHES;VEOLIA;OUI
1072;Mcdonald's BOURGES;VEOLIA;OUI
1076;Mcdonald's SARAN;VEOLIA;OUI
1077;McDonald's Manom;SUEZ;OUI
1080;Mcdonald's SECLIN;VANHEEDE;OUI
1105;Mcdonald's MULSANNE;REFOOD;OUI
1105;Mcdonald's MULSANNE;VEOLIA;OUI
1109;Mcdonald's MAINVILLIERS;REFOOD;OUI
1109;Mcdonald's MAINVILLIERS;SUEZ;OUI
1118;Brioude;BM;OUI
1123;McDonald's Somain;SUEZ;OUI
1123;McDonald's Somain;THEYS;OUI
1131;McDonald's Saint Martin;SUEZ;OUI
1131;McDonald's Saint Martin;BAUDELET;OUI
1131;McDonald's Saint Martin;VEOLIA;OUI
1132;Caussade;APAG;OUI
1140;Mcdonald's ISIGNY;REFOOD;OUI
1140;Mcdonald's ISIGNY;VEOLIA;OUI
1143;Mcdonald's AMIENS VIKING;SUEZ;OUI
1143;McDonalds Dury;PAPREC;OUI
1169;McDonald's Chatte;SUEZ;OUI
1170;Mcdonald's ORCHIES;SUEZ;OUI
1170;Mcdonald's ORCHIES;VANHEEDE;OUI
1173;Mcdonald's CHALON SUR SAONE;SUEZ;OUI
1183;McDonald's Bailleul;BAUDELET;OUI
1183;McDonald's Bailleul;THEYS;OUI
1187;McDonald's Perpignan;VEOLIA;OUI
1211;McDonald's Blagnac;VEOLIA;OUI
1221;McDonald's Gretz;SEPUR;OUI
1221;McDonald's Gretz;SUEZ;OUI
1224;McDonald's Moult;VEOLIA;OUI
1228;McDonald's Thionville Kinepolis;SUEZ;OUI
1236;McDonald's Saint Jory;APAG;OUI
1236;McDonald's Saint Jory;VEOLIA;OUI
1239;Mcdonald's CHEMILLE EN ANJOU;ATESIS;OUI
1239;Mcdonald's CHEMILLE EN ANJOU;BRANGEON;OUI
1243;McDonald's Hallennes Lez Haub.;BAUDELET;OUI
1243;McDonald's Hallennes Lez Haub.;THEYS;OUI
1248;McDonald's Auxerre;PAPREC;OUI
1250;Mcdonald's MIMIZAN ;BRANGEON;OUI
1250;Mcdonald's MIMIZAN ;COLLECTIVITE;OUI
1253;Mcdonald's CRAPONNE;REFOOD;OUI
1253;Mcdonald's CRAPONNE;SUEZ;OUI
1253;McDonald's Craponne;PAPREC;OUI
1257;Mcdonald's Doullens;VEOLIA;OUI
1257;Mcdonald's Doullens;PAPREC;OUI
1257;Mcdonald's Doullens;REFOOD;OUI
1262;Mcdonald's LIMOGES;SUEZ;OUI
1268;Mcdonald's BONNEE;VEOLIA;OUI
1279;McDonald's Flers En Escrebieux;SUEZ;OUI
1279;McDonald's Flers En Escrebieux;THEYS;OUI
1282;Mcdonald's VARENNES VAUZELLES;SUEZ;OUI
1291;Mcdonald's LANDIVISIAU;RECYGO ;OUI
1291;Mcdonald's LANDIVISIAU;RECYCLEURSBRETONS;OUI
1291;Mcdonald's LANDIVISIAU;RECYCLEURS BRETONS;OUI
1291;McDonald's Landivisiau;RECYCLEURS BRETON;OUI
1296;McDonald's Sarreguemines;VEOLIA;OUI
1298;Mcdonald's MARSEILLE;PAPREC;OUI
1302;McDonald's Thuir;VEOLIA;OUI
1330;Mcdonald's BEAUCOUZE;VEOLIA;OUI
1330;Mcdonald's BEAUCOUZE;BRANGEON;OUI
1332;Mcdonald's JOUE LES TOURS;REFOOD;OUI
1332;Mcdonald's JOUE LES TOURS;VEOLIA;OUI
1332;Mcdonald's JOUE LES TOURS;ELISE;OUI
1332;McDonald's Joue les Tours;PAPREC;OUI
1337;McDonald's Chavanay;SUEZ;OUI
1337;McDonald's Chavanay;VEOLIA;OUI
1337;McDonald's Chavanay;THEYS;OUI
1343;Mcdonald's MURET;VEOLIA;OUI
1343;Mcdonald's MURET;CLER VERTS;OUI
1343;Mcdonald's MURET;CLERVERT;OUI
1343;McDonald's Muret;CLER VERT;OUI
1351;Mcdonald's MARSEILLE REPUBLIQUE;PAPREC;OUI
1351;Mcdonald's MARSEILLE REPUBLIQUE;VEOLIA;OUI
1351;Mcdonald's MARSEILLE REPUBLIQUE;BIOVARE;OUI
1352;Mcdonald's ROTS;VEOLIA;OUI
1353;Mcdonald's Arles;ELISE;OUI
1353;Mcdonald's Arles;BIOVARE;OUI
1354;Mcdonald's FLEURY LES AUBRAIS;VEOLIA;OUI
1357;McDonald's Ronchin;SUEZ;OUI
1357;McDonald's Ronchin;THEYS;OUI
1357;McDonald's Ronchin;ALCHIMISTES;OUI
1365;Mcdonald's Le Mans;REFOOD;OUI
1373;Mcdonald's Tournus;REFOOD;OUI
1377;McDonald's La Gorgue;BAUDELET;OUI
1377;McDonald's La Gorgue;THEYS;OUI
1384;McDonald's Roissy En Brie;SUEZ;OUI
1391;Mcdonald's ARTHENAY;REFOOD;OUI
1391;Mcdonald's ARTHENAY;VEOLIA;OUI
1391;Mcdonald's ARTHENAY;PAPREC;OUI
1399;McDonald's Saint-André Lez Lille;BAUDELET;OUI
1399;McDonald's Saint-André Lez Lille;THEYS;OUI
1399;McDonald's Saint-André Lez Lille;ALCHIMISTES;OUI
1408;Mcdonald's SAINT CYR SUR LOIRE;REFOOD;OUI
1408;Mcdonald's SAINT CYR SUR LOIRE;VEOLIA;OUI
1408;Mcdonald's SAINT CYR SUR LOIRE;ELISE;OUI
1408;McDonald's Saint Cyr Sur Loire;PAPREC;OUI
1419;Mcdonald's RAMBOUILLET;SUEZ;OUI
1419;Mcdonald's RAMBOUILLET;REFOOD;OUI
1423;McDonald's Mont st Martin;SUEZ;OUI
1424;Mcdonald's POUILLY EN AUXOIS ;SUEZ;OUI
1434;McDonald's Boulay;SUEZ;OUI
1434;McDonald's Boulay;VEOLIA;OUI
1434;McDonald's Boulay;CLERVERT;OUI
1435;Mcdonald's Bapaume;SUEZ;OUI
1437;Mcdonald's GOURGAN POLIGNAN;VEOLIA;OUI
1437;Mcdonald's GOURGAN POLIGNAN;REFOOD;OUI
1437;Mcdonald's Gourgan Polignan;PSI;OUI
1441;Montauban Sapiac;SUEZ;OUI
1441;Montauban Sapiac;APAG;OUI
1450;Mcdonald's CHANTONNAY;VEOLIA;OUI
1450;Mcdonald's CHANTONNAY;BRANGEON;OUI
1453;Mcdonald's COURSEULLES-SUR-MER;VEOLIA;OUI
1454;McDonald's Le Pont de Beauvoisin;VEOLIA;OUI
1466;McDonald's Grenade;SUEZ;OUI
1466;McDonald's Grenade;APAG;OUI
1474;Mcdonald's LYON;REFOOD;OUI
1474;McDonald's Opéra;VEOLIA;OUI
1474;McDonald's Opéra;PAPREC;OUI
1484;Mcdonald's BARJOUVILLE;REFOOD;OUI
1484;Mcdonald's BARJOUVILLE;SUEZ;OUI
1512;Mcdonald's SAINT-CERGUES;EXCOFFIER;OUI
1514;McDonald's Longeville;VEOLIA;OUI
1515;Mcdonald's DIGOIN ;SUEZ;OUI
1518;Mcdonald's SAINT PRIVE SAINT MESMIN;VEOLIA;OUI
1523;Mcdonald's AMIENS SAS SOMDRIVE;SUEZ;OUI
1523;McDonald's Sombdrive;PAPREC;OUI
1527;Mcdonald's GUNDERSHOFFEN;REFOOD;OUI
1527;Mcdonald's GUNDERSHOFFEN;SCHROLL;OUI
1530;Mcdonald's LA FERTE AUTOROUTE;REFOOD;OUI
1530;Mcdonald's LA FERTE AUTOROUTE;PAPREC;OUI
1530;Mcdonald's LA FERTE AUTOROUTE;VEOLIA;OUI
1536;Mcdonald's AIRE DE REPOS DES PORTES D'ANGERS ;BRANGEON;OUI
1536;Mcdonald's AIRE DE REPOS DES PORTES D'ANGERS ;VEOLIA;OUI
1552;McDonald's Fronton;EASY TRI;OUI
1564;Mcdonald's LA LOUPE;REFOOD;OUI
1564;Mcdonald's LA LOUPE;PAPREC;OUI
1575;McDonald's Farebersviller;SUEZ;OUI
1575;McDonald's Farebersviller;VEOLIA;OUI
1587;Mcdonald's CANNAT;PAPREC;OUI
1587;Mcdonald's CANNAT;SILIM;OUI
1587;Mcdonald's CANNAT;VEOLIA;OUI
1587;Mcdonald's CANNAT;BIOVARE;OUI
1624;Mcdonald's ST LAURENT DU VAR;VEOLIA;OUI
1628;Mcdonald's FAIRE LES OLIVIERS;PAPREC;OUI
1628;Mcdonald's FAIRE LES OLIVIERS;VEOLIA;OUI
1628;Mcdonald's FAIRE LES OLIVIERS;BIOVARE;OUI
1638;Mcdonald's CRANVES SALES;EXCOFFIER;OUI
1638;Mcdonald's CRANVES SALES;PAPREC;OUI
1655;Mcdonald's AVERMES;REFOOD;OUI
1655;Mcdonald's AVERMES;SUEZ;OUI
1670;Mcdonald's MANDELIEU LANAPOULE;CANNES ;OUI
1670;Mcdonald's MANDELIEU LANAPOULE;VEOLIA;OUI
1672;McDonald's Phalsbourg;CITRAVAL;OUI
1673;McDonald's Lyon Docks;VEOLIA;OUI
1673;McDonald's Lyon Docks;PAPREC;OUI
1677;McDonald's Marquise;SUEZ;OUI
1677;McDonald's Marquise;BAUDELET;OUI
1680;Mcdonald's SAINT POL DE LEON;RECYCLEURSBRETONS;OUI
1680;Mcdonald's SAINT POL DE LEON;RECYCLEURS BRETONS;OUI
1680;McDonald's St Pol de Leon;RECYCLEURS BRETON;OUI
1685;Lamotte Beuvron;VEOLIA;OUI
1696;McDonald's La Queue en Brie;SUEZ;OUI
1697;McDonald's Bitche;SCHROLL;OUI
1697;McDonald's Bitche;REFOOD;OUI
1720;Mcdonald's SARREBOURG;SUEZ;OUI
1736;SARRE-UNION;SUEZ;OUI
3002;Saint Maximin;REMONDIS;OUI
3003;Jaux;SUEZ;OUI
3004;KFC Saint Maximin;REMONDIS;OUI
3004;St Witz;SUEZ;OUI
1248;McDonald's Auxerre;SUEZ;OUI
313;McDonald's Toulouse Montaudran;VEOLIA;OUI
349;McDonald's d'Alaï;SCHROLL;OUI
471;McDonald's Chambery;MB;OUI
